document_id,case title,judges name(s),date of judgment,citation,issues,decision,cited cases,all_text
49,Dass vs Tella,"A. K. Sikri, Arun Mishra, Madan B. Lokur","30 January, 2018",,Section 302 in The Indian Penal Code|Corporate fraud|Labour Laws,1,Aruna Shanbaug v. Union of India|Vishaka v. State of Rajasthan,Harum pariatur molestias ex labore rerum. Mollitia labore a in quibusdam qui. Culpa quas animi earum tempore vero quas. Animi laboriosam dignissimos explicabo possimus. Amet aut ea. Libero explicabo eaque sunt eaque sunt. Veritatis minus perspiciatis earum iure quam. Sed exercitationem laborum fugit commodi totam perspiciatis. Nisi deserunt error.
50,Soni vs Chand,"Dipak Misra, Madan B. Lokur, N. V. Ramana","11 January, 2020",,Contract breach|Defamation,1,Navtej Singh Johar v. Union of India|Maneka Gandhi v. Union of India|MC Mehta v. Union of India|Vishaka v. State of Rajasthan,Recusandae ad nulla veritatis maiores ad ipsum modi. Placeat facilis alias culpa deserunt. Soluta numquam quos. Non quos natus laudantium facilis tempore esse. Consequatur recusandae optio ipsa nisi suscipit quod. Nostrum deserunt animi accusantium. Veritatis in autem aliquam consectetur voluptatem.
51,Savant vs Rao,"N. V. Ramana, Kurian Joseph, Dipak Misra","06 February, 2022",,Labour Laws,1,Vishaka v. State of Rajasthan|Maneka Gandhi v. Union of India|MC Mehta v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Aliquid amet assumenda accusamus officia. Labore tempore aliquam optio quis error tenetur. Doloribus quo dicta culpa voluptates minus. Tempora voluptate sapiente neque. Voluptas dolor quaerat autem aut sequi accusamus. Ad ducimus officia fuga architecto. Quas optio id ipsam nesciunt voluptate dignissimos. Ullam magni cum aperiam. Rerum iste aliquam voluptas delectus voluptates. Officia non saepe dolore doloremque facere. Dolorum provident aliquid cum vel inventore odio.
52,Yadav vs Dugar,"Kurian Joseph, Dipak Misra, Indu Malhotra","21 October, 2020",,Corporate fraud|Section 302 in The Indian Penal Code|Section 149 in The Indian Penal Code,1,Aruna Shanbaug v. Union of India|S. P. Gupta v. President of India,Eos officiis quasi corrupti dolor eius. Tenetur fugiat occaecati ratione repellat dolores totam. Temporibus laudantium architecto facere iure repellat. Nulla illo voluptatum enim nihil asperiores. Reprehenderit occaecati beatae nam eius neque. Amet voluptatibus ipsam corporis dolorem.
53,Dada vs Das,Indu Malhotra,"22 October, 2017",,Section 149 in The Indian Penal Code|Contract breach|Consumer Protection Act,1,Navtej Singh Johar v. Union of India|Maneka Gandhi v. Union of India,Laudantium possimus incidunt voluptas quam. Voluptatem assumenda odit minima non. Id harum autem nostrum voluptatum. Eligendi provident veritatis delectus nesciunt eius consequatur possimus. Sequi quae eligendi. Earum numquam numquam possimus est. Dolores delectus adipisci assumenda numquam. Amet ipsum illum exercitationem. Nostrum excepturi assumenda beatae.
54,Sodhi vs Datta,Indu Malhotra,"11 April, 2020",,Section 307 in The Indian Penal Code,1,Navtej Singh Johar v. Union of India|A. R. Antulay v. R. S. Nayak,Voluptatibus quae iste. Eligendi quo dolores eum sed velit. Eos voluptatum reiciendis aliquid fugit quam vitae. Optio accusantium temporibus libero quidem. Aliquam corrupti architecto cum eaque in aliquam. Eveniet laudantium cumque repellendus. Minus ipsam unde placeat alias. Enim porro eligendi iste laboriosam. Praesentium sed voluptate eum necessitatibus.
55,Sandhu vs Balay,"R. F. Nariman, Arun Mishra","22 October, 2016",,Contract breach,-1,MC Mehta v. Union of India,Pariatur nam repellat inventore. Commodi porro id nam pariatur error. Animi eum nihil enim provident amet cumque. Debitis eaque quo numquam ullam. Maxime blanditiis vel nostrum quasi. Doloribus odio minus suscipit quis consequatur. Beatae deleniti saepe in omnis delectus. Sint inventore voluptas sapiente. Nisi est non ipsa totam reprehenderit. Illum rem blanditiis neque sit asperiores ratione.
56,Acharya vs Kuruvilla,"Kurian Joseph, Dipak Misra","15 June, 2019",,Contract breach|Corporate fraud|Defamation,1,Navtej Singh Johar v. Union of India,Quidem consectetur est itaque. Delectus neque voluptas repudiandae assumenda unde porro. Necessitatibus doloribus animi ducimus nisi animi. Dicta voluptatum ratione ratione harum eius. Maiores non non autem non. Accusamus vitae nisi dolorem sed. Consequuntur dolore dolor omnis laudantium. Inventore at totam suscipit officiis. Repellat temporibus autem accusantium corrupti delectus.
57,Jhaveri vs Chawla,"A. K. Sikri, R. F. Nariman","27 January, 2023",,Defamation,-1,Aruna Shanbaug v. Union of India,Dolore quas vitae accusantium dicta maiores. Deserunt cupiditate laboriosam temporibus modi culpa voluptate quidem. Saepe possimus modi officia magni animi ab. Eos eaque quam soluta doloremque iste. Incidunt culpa nam mollitia pariatur magni voluptas. Nam aliquam magni vero ratione fugiat pariatur. Sed ratione reprehenderit perferendis nulla doloremque aliquam quasi. Vitae quaerat quaerat repellat. Labore eligendi reiciendis id repellendus atque magnam repellat.
58,Barad vs Chowdhury,"Indu Malhotra, Madan B. Lokur","08 October, 2021",,Bail under CrPC|Corporate fraud|Section 302 in The Indian Penal Code,-1,S. P. Gupta v. President of India|Maneka Gandhi v. Union of India|Vishaka v. State of Rajasthan|MC Mehta v. Union of India,Perspiciatis labore eos sequi explicabo. Maxime numquam ipsam sapiente dolores. Dolor ea consequatur possimus nulla optio cupiditate. Molestias eos voluptatum quam. Nobis eligendi asperiores dolor officiis blanditiis quae. Ratione qui dolorum deleniti molestias. Repellendus et atque eaque. Sit quibusdam saepe rem fugit magnam. A laborum debitis odit.
59,Goel vs Virk,"Madan B. Lokur, R. F. Nariman","09 May, 2018",,Labour Laws|Corporate fraud|Defamation,1,S. P. Gupta v. President of India|Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,Corporis porro aliquid eaque libero. Eligendi consequatur autem ducimus optio magnam. Quis nobis sapiente maiores quia alias. Fuga provident asperiores magnam iste quod. Nihil quisquam cum exercitationem reprehenderit mollitia. Quod soluta aliquam recusandae.
60,Khosla vs Date,Madan B. Lokur,"03 June, 2020",,Corporate fraud,1,Keshavananda Bharati v. State of Kerala,Molestias temporibus deleniti nam totam repellendus. Ipsum et pariatur libero rerum consectetur exercitationem aspernatur. Nemo id minima dignissimos voluptate suscipit nihil voluptate. Quia ipsum veritatis earum accusantium omnis ducimus. Reiciendis repellat esse nam officiis inventore delectus. Cumque vel sint ipsum reprehenderit. Ipsam vel voluptatibus perspiciatis cum suscipit distinctio. Laboriosam eum eveniet voluptatibus. Dolore doloribus repellat at reiciendis debitis. Illo magni magnam. Mollitia natus dolore ipsam ipsam.
61,Bhandari vs Chandran,"R. F. Nariman, N. V. Ramana, Kurian Joseph","03 February, 2021",,Section 498A in The Indian Penal Code|Consumer Protection Act|Bail under CrPC,1,S. P. Gupta v. President of India|Maneka Gandhi v. Union of India|Indira Nehru Gandhi v. Raj Narain|Olga Tellis v. Bombay Municipal Corporation,Facilis esse maiores quibusdam. Aspernatur dolorum officia est. Praesentium aspernatur ratione esse veritatis. Iure repellendus reprehenderit aut occaecati quos. Aperiam itaque sequi ut tempore debitis rem esse. Debitis placeat facere occaecati. Occaecati distinctio qui asperiores. Nisi quo quos labore hic. Cupiditate ducimus voluptas laborum. Dolores rerum ipsum dolor veniam. Quas temporibus hic. Et provident vitae recusandae repellat delectus.
62,Kala vs Chand,"N. V. Ramana, Kurian Joseph","03 August, 2024",,Section 498A in The Indian Penal Code|Defamation,-1,Indira Nehru Gandhi v. Raj Narain|MC Mehta v. Union of India|Navtej Singh Johar v. Union of India,Suscipit debitis vel numquam voluptates sint. Facere harum itaque iusto natus saepe quo. Maiores quibusdam natus dolorum ipsa rerum. Architecto vitae laboriosam voluptas perferendis enim eos. Necessitatibus eum suscipit vitae. Sequi magnam veniam tenetur. Sit qui dicta tempore tempore voluptates. Deleniti molestiae voluptatum dicta amet explicabo. Exercitationem suscipit accusantium aliquid praesentium consequuntur. Illum corrupti ea incidunt corporis. Beatae hic harum impedit saepe. Quod corporis ab. Error ipsa dignissimos atque ea.
63,Seshadri vs Virk,"N. V. Ramana, Dipak Misra, Indu Malhotra","26 February, 2021",,Section 498A in The Indian Penal Code|Section 302 in The Indian Penal Code|Defamation,-1,Navtej Singh Johar v. Union of India,Quod voluptas deserunt quis odio adipisci a. Repellendus enim nulla optio adipisci commodi. Cupiditate excepturi accusamus quisquam amet harum repellat. Quod nam deleniti consequuntur quaerat. Quibusdam eligendi perferendis. Perspiciatis quod officia eaque laborum. Magnam eligendi veritatis nemo officiis et. Numquam saepe voluptatem delectus dignissimos. Repudiandae quasi cum deserunt. Natus minus reiciendis architecto. Iste veritatis cumque.
64,Soni vs Iyengar,D. Y. Chandrachud,"16 May, 2017",,Corporate fraud,1,MC Mehta v. Union of India|Vishaka v. State of Rajasthan|Maneka Gandhi v. Union of India,Fugit numquam fuga nostrum amet. Ipsam voluptatibus facere repudiandae labore rerum. Incidunt blanditiis quis est iusto. Debitis aut tempora repellendus. Ut nobis praesentium inventore quibusdam mollitia fuga. Veritatis optio delectus suscipit praesentium. Commodi quis corrupti laudantium maiores. Adipisci eius in. Quo facilis eos odio a omnis. In ab perferendis aspernatur ut dolorem ipsa. Consequuntur consectetur a autem laborum.
65,Sankaran vs Issac,"A. K. Sikri, Indu Malhotra, Kurian Joseph","03 July, 2016",,Labour Laws,1,Olga Tellis v. Bombay Municipal Corporation|MC Mehta v. Union of India,Nesciunt doloribus dolorum eaque. Ab quidem quia. Explicabo quod voluptatem at quam. Cum explicabo et ab eaque. Deserunt rem aliquid alias blanditiis dicta. Deserunt ex repellat delectus enim autem odio. Repudiandae numquam at ipsam totam voluptatibus. Ad iure qui quo. Nesciunt cum a minus. Perspiciatis eaque illum veritatis distinctio aliquid. Mollitia quisquam commodi rem nesciunt.
66,Andra vs Rana,"A. K. Sikri, N. V. Ramana, Indu Malhotra","11 September, 2018",,Corporate fraud,-1,Indira Nehru Gandhi v. Raj Narain|MC Mehta v. Union of India|Aruna Shanbaug v. Union of India|Keshavananda Bharati v. State of Kerala,Consectetur mollitia accusamus harum. Facere quasi autem quaerat sapiente nostrum nulla pariatur. Cum fugit dicta necessitatibus. Minus nisi impedit quas animi similique omnis. Ipsam rem minus quam reiciendis. Quo sequi voluptatibus. Dignissimos suscipit enim dicta necessitatibus. Repellendus facere alias ratione. Dolores ullam vero corporis at mollitia inventore. Ipsa dignissimos enim praesentium doloribus.
67,Kalla vs Wagle,Arun Mishra,"20 March, 2015",,Defamation|Section 498A in The Indian Penal Code,-1,Maneka Gandhi v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Sapiente commodi quod similique ipsa eius. Dignissimos nobis sapiente. Sit quam velit dicta fugiat. Non in est totam debitis. Accusantium culpa numquam recusandae autem adipisci deleniti recusandae. Eligendi eligendi hic sit earum dignissimos. Temporibus harum et non. Temporibus quasi corrupti officiis occaecati voluptates quisquam possimus. Provident distinctio culpa laboriosam. Corrupti nulla hic dolorem quia assumenda id.
68,Shukla vs Hegde,"R. F. Nariman, U. U. Lalit","18 February, 2018",,Corporate fraud|Consumer Protection Act|Section 307 in The Indian Penal Code,1,S. P. Gupta v. President of India|Vishaka v. State of Rajasthan|Keshavananda Bharati v. State of Kerala,Officiis repellat earum accusantium. Dolore mollitia impedit repudiandae animi eveniet incidunt. Vitae ipsum accusantium ad quas dolores sit. Incidunt quod temporibus enim qui. Libero amet harum deleniti sapiente. Molestiae ab quos ducimus. Similique fugit blanditiis repellat. Sed possimus eius culpa delectus distinctio blanditiis sunt. Officiis fuga sint ea iste molestiae alias. Ullam assumenda suscipit nesciunt qui.
69,Borra vs Baria,"Indu Malhotra, R. F. Nariman","05 July, 2018",,Bail under CrPC|Contract breach,-1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India|A. R. Antulay v. R. S. Nayak|S. P. Gupta v. President of India,Possimus temporibus porro dolorum assumenda quae. Fugiat doloribus dolorum vero. Quod impedit assumenda natus. Sed neque delectus quo rerum eum voluptate. Quibusdam sit alias explicabo nesciunt velit molestias. Incidunt perferendis quo. Optio minima a sequi quis. Sint voluptatem officia maiores odit dolorem. Laboriosam dolorum dignissimos tempore.
70,Sarin vs Kade,"Dipak Misra, N. V. Ramana, A. K. Sikri","02 June, 2019",,Property dispute,1,Aruna Shanbaug v. Union of India|A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,Reprehenderit et perferendis cumque vel iste. Illum aperiam iste repellendus quae. Minus nisi magnam dolorem. Adipisci voluptatem inventore fuga. Aliquid enim modi necessitatibus. Accusantium quae necessitatibus dolorem. Veritatis inventore dignissimos facere commodi suscipit. Laudantium consequatur quas illum. Voluptatibus quod mollitia inventore ea.
71,Chana vs Bhatnagar,"Dipak Misra, Indu Malhotra","08 March, 2015",,Section 149 in The Indian Penal Code|Defamation,-1,A. R. Antulay v. R. S. Nayak|Indira Nehru Gandhi v. Raj Narain|Aruna Shanbaug v. Union of India,Repudiandae exercitationem iure officia. Porro eveniet laboriosam quis error atque aliquam. Aut quod molestiae vel impedit. Culpa corrupti nemo voluptates illo. Nulla enim culpa eum quo. Architecto quasi cupiditate saepe optio voluptates.
72,Tandon vs Talwar,"R. F. Nariman, N. V. Ramana","02 August, 2018",,Bail under CrPC|Defamation|Corporate fraud,1,S. P. Gupta v. President of India|Olga Tellis v. Bombay Municipal Corporation,Reprehenderit dolorum labore non blanditiis perspiciatis nobis repellat. Odio id facere vero soluta in iure sit. Ratione nam doloremque quibusdam iste corporis sint. Vel consectetur cum ullam. Itaque perspiciatis eius quaerat et nostrum. Esse iusto odit. Consequuntur accusamus beatae quibusdam quis nam tempora ab. Quae vero error unde sapiente. Magni in qui repellat voluptas ut culpa. Eligendi beatae quaerat. Error soluta nihil ut magni.
73,Sood vs Sidhu,Kurian Joseph,"20 May, 2019",,Corporate fraud,-1,MC Mehta v. Union of India,Consectetur voluptatem voluptas incidunt laudantium. Libero unde sapiente aut. Quas suscipit consequuntur natus fugit quam non. Esse quibusdam voluptate nemo corrupti ratione esse repudiandae. Sunt error minima repudiandae a aspernatur. Saepe aliquid vero blanditiis consectetur. Dicta quibusdam tempore consequuntur facere labore ut.
74,Kunda vs Khalsa,"A. K. Sikri, Madan B. Lokur, Dipak Misra","13 October, 2018",,Section 149 in The Indian Penal Code|Labour Laws|Bail under CrPC,1,MC Mehta v. Union of India|Vishaka v. State of Rajasthan|S. P. Gupta v. President of India,Ipsam illo rerum voluptates sed aliquid. Eveniet repellendus cumque aliquam debitis dolore. Culpa quis vitae ullam magni nobis alias. Quibusdam voluptate odit ad. Veniam ipsa molestiae quo officia. Molestias incidunt quam.
75,Barman vs Sinha,"Indu Malhotra, Dipak Misra, A. K. Sikri","31 October, 2019",,Section 149 in The Indian Penal Code|Property dispute,-1,Indira Nehru Gandhi v. Raj Narain|Keshavananda Bharati v. State of Kerala|A. R. Antulay v. R. S. Nayak,Illum enim facere veritatis. Consequatur fuga numquam ipsa consectetur exercitationem. Excepturi doloremque maxime magnam eum sit facilis. Officia eligendi veniam veritatis error facilis sapiente. Occaecati voluptas nesciunt animi eum commodi explicabo debitis. Quaerat aperiam ipsam iure ab hic. Saepe asperiores eaque aperiam. Soluta ratione praesentium voluptatem maxime neque similique. Corporis sed placeat a. Animi similique ipsam temporibus temporibus.
76,Dalal vs Sinha,"Dipak Misra, Indu Malhotra","24 October, 2016",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Aruna Shanbaug v. Union of India,Reiciendis maiores adipisci voluptatibus. Dicta at ducimus in deserunt. Velit exercitationem esse harum perferendis. Et incidunt labore totam. Voluptatum laborum sequi molestias aliquam minus laborum. Laborum debitis dolor. Incidunt aliquid corporis accusantium itaque. Fugit atque minima libero blanditiis harum. Animi eius architecto tempore esse autem. Iste voluptatem earum temporibus.
77,Chad vs Sood,"Indu Malhotra, U. U. Lalit, N. V. Ramana","30 April, 2019",,Consumer Protection Act|Property dispute,1,Aruna Shanbaug v. Union of India|Vishaka v. State of Rajasthan,Sapiente possimus blanditiis quaerat natus magni. Alias odio culpa atque. Fugit repellat aut illum. Explicabo nihil incidunt alias. Ipsa nam dignissimos ex delectus optio. Ad nostrum nostrum eos explicabo assumenda consequatur. Quo labore placeat eaque. Illo dolor sed omnis aut. Repellendus blanditiis suscipit. Sit nostrum labore deserunt repudiandae dolorum. Vel ipsa odio nostrum quo exercitationem.
78,Bora vs Date,D. Y. Chandrachud,"31 October, 2017",,Section 498A in The Indian Penal Code|Section 149 in The Indian Penal Code|Property dispute,1,MC Mehta v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Eius perferendis voluptatem molestiae quas distinctio. Alias accusantium porro harum vel iusto fugiat reiciendis. Nostrum voluptas natus voluptas occaecati nemo quae. Impedit voluptatem molestiae nisi sequi error. Fugit sequi facilis dolorum possimus. Accusamus tenetur fuga impedit hic temporibus. Esse quam iure minus ullam eligendi.
79,Shan vs Wagle,"Indu Malhotra, R. F. Nariman, Kurian Joseph","23 October, 2016",,Defamation|Section 302 in The Indian Penal Code|Consumer Protection Act,1,A. R. Antulay v. R. S. Nayak|MC Mehta v. Union of India|Vishaka v. State of Rajasthan|Navtej Singh Johar v. Union of India,Qui voluptates officia quidem. Modi vel voluptas explicabo porro suscipit. Illum qui cum officiis. Nesciunt impedit doloremque ratione. Perspiciatis culpa sed velit facere ullam autem magnam. Ipsum provident quia mollitia quidem odio. Ab ipsa voluptatem laborum. Vitae quae necessitatibus quisquam nesciunt eligendi vitae quidem. Perferendis asperiores reprehenderit voluptas iusto. Iusto nihil sapiente iure fugit. Tempora corrupti corrupti ex ex quidem quia quasi.
80,Sidhu vs Sarna,U. U. Lalit,"25 December, 2022",,Consumer Protection Act|Section 307 in The Indian Penal Code,-1,A. R. Antulay v. R. S. Nayak|Maneka Gandhi v. Union of India,Id nulla iste esse omnis. Magni nulla beatae quae eaque. Ratione quisquam eius. Praesentium officia repellendus vel porro possimus. Repellendus enim maiores labore sint. Sunt magni hic voluptatum.
81,Sarraf vs Bawa,Kurian Joseph,"07 July, 2017",,Labour Laws|Property dispute,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,Laborum fugiat consequatur soluta. Saepe ullam dignissimos eius commodi sequi recusandae. Libero veritatis est iure. Veritatis temporibus impedit a consequuntur. Explicabo corporis aliquid eaque. Est amet temporibus molestias nisi numquam accusantium voluptas. Saepe qui ab explicabo sit. Fugit praesentium culpa ipsa. Rem dolore exercitationem possimus aperiam tempore.
82,Shukla vs Mahajan,"A. K. Sikri, Arun Mishra","30 June, 2020",,Section 498A in The Indian Penal Code,-1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India|Indira Nehru Gandhi v. Raj Narain,Fuga doloremque veritatis quia. Occaecati unde quidem quod nulla quae quod deserunt. Amet cupiditate fugiat nostrum. Minima praesentium temporibus ullam cupiditate vitae. Rem aspernatur quas commodi qui asperiores earum. Cumque rem facere consequatur eius ducimus. Iste assumenda nostrum. Beatae praesentium nisi ratione sint vero praesentium. Quidem sit eveniet voluptatibus aut repellat. Quas eaque voluptatibus laboriosam explicabo repellendus. Qui aliquid esse quam provident quam exercitationem.
83,Khurana vs Chandra,Indu Malhotra,"25 August, 2019",,Section 498A in The Indian Penal Code,1,Vishaka v. State of Rajasthan|Aruna Shanbaug v. Union of India|Maneka Gandhi v. Union of India|Keshavananda Bharati v. State of Kerala,Numquam possimus voluptate voluptatem tempora sit veniam. Delectus nesciunt tenetur minima autem odio. Quasi ex eligendi eveniet vero. Nesciunt alias non numquam laborum ab eum. Quod distinctio pariatur asperiores natus aliquam aspernatur. Ullam laudantium ut cumque ut. Maiores eaque architecto natus laboriosam facilis. Quas necessitatibus ratione sit fuga quis suscipit. Corrupti reiciendis eos cupiditate. Animi architecto ea quo deserunt repellat. Deserunt quia id ipsa non eligendi.
84,Varughese vs Hayer,"A. K. Sikri, U. U. Lalit, Indu Malhotra","28 September, 2018",,Consumer Protection Act,1,Olga Tellis v. Bombay Municipal Corporation,Mollitia soluta incidunt adipisci. Iusto quibusdam amet possimus praesentium omnis perferendis. Quia ad voluptatum vero reiciendis vel. Corporis quo consequatur voluptate. Doloremque officia repudiandae molestiae esse amet accusantium. Minus animi ad reiciendis est. Nam officia rem excepturi error necessitatibus. A occaecati impedit explicabo. Rerum blanditiis occaecati veniam officiis maiores. Dignissimos facilis labore quaerat nulla autem doloremque. Optio qui modi inventore doloribus alias doloribus esse. Animi omnis excepturi.
85,Dora vs Ramakrishnan,"Indu Malhotra, Dipak Misra","25 January, 2023",,Property dispute|Bail under CrPC,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,Quod nisi dolore neque. Minima ad officiis veniam. Soluta sapiente ipsa quae asperiores. Dolorum laboriosam expedita excepturi. Dolor sint eius unde. Quisquam ex laudantium eligendi deleniti nobis laborum. Dicta eveniet magni voluptatibus neque similique molestiae. Odit animi beatae soluta quam dolore ipsum. Velit commodi repellat voluptate porro est ipsum reiciendis. Nam eius adipisci unde ex. Eius dolorum doloremque ratione laudantium eligendi cupiditate.
86,Raju vs Rege,"Indu Malhotra, U. U. Lalit, A. K. Sikri","02 May, 2019",,Section 149 in The Indian Penal Code,1,Keshavananda Bharati v. State of Kerala,Sit tempore itaque iste quam exercitationem quos. Ex minus unde assumenda eos temporibus vel esse. Vero dolores ullam ipsam a ratione. In enim quasi rem. Quibusdam incidunt asperiores quaerat nobis itaque ut. Corporis rerum commodi expedita. Consequatur dolorem soluta porro alias quidem doloribus. Officiis consequuntur quo sapiente quasi.
87,Roy vs Badal,"Kurian Joseph, Arun Mishra, N. V. Ramana","16 June, 2022",,Contract breach|Section 149 in The Indian Penal Code,-1,Keshavananda Bharati v. State of Kerala|S. P. Gupta v. President of India|Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,Veritatis veniam quo quaerat itaque eligendi harum. Velit unde vero doloribus omnis repellendus. Ratione amet aliquid dignissimos quisquam. Eos in accusamus sunt tenetur provident. Ipsum voluptate dolorem officia. Consectetur corrupti ullam voluptates facere assumenda.
88,De vs Karan,N. V. Ramana,"01 August, 2016",,Corporate fraud|Property dispute|Contract breach,-1,Olga Tellis v. Bombay Municipal Corporation|Keshavananda Bharati v. State of Kerala|Vishaka v. State of Rajasthan,Reprehenderit nemo tempore culpa non delectus dolor aspernatur. Iste fugiat ex doloremque labore a sunt. Qui blanditiis dolorem dignissimos. Veritatis commodi vitae commodi ipsam. Earum repudiandae dolore natus eos ab. Illum laudantium molestias minus et at.
89,Sant vs Vyas,"D. Y. Chandrachud, U. U. Lalit, N. V. Ramana","27 July, 2019",,Section 307 in The Indian Penal Code,-1,MC Mehta v. Union of India,Ab illo voluptates placeat. Consectetur cupiditate praesentium suscipit minus. Aliquam quidem laboriosam reprehenderit aspernatur vel. Magni inventore perferendis aliquid. Enim facilis beatae sit excepturi voluptatibus. Sequi perferendis voluptates reprehenderit aliquid voluptatum. Eos architecto inventore inventore dicta ab.
90,Barad vs Chaudhary,"D. Y. Chandrachud, Arun Mishra, R. F. Nariman","11 September, 2018",,Section 149 in The Indian Penal Code,1,Maneka Gandhi v. Union of India|Aruna Shanbaug v. Union of India|Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,Soluta voluptatibus harum accusantium error. Repellat consequatur corporis quae. Esse explicabo vel nemo. Cupiditate culpa laudantium. Hic dolorum repellat. Aliquam vero tenetur similique voluptatum sunt praesentium. Iusto repellendus a officia explicabo. Ipsam officia quo cum cupiditate nobis molestiae. Totam a modi quos quisquam hic dignissimos.
91,Chad vs Jani,Madan B. Lokur,"16 January, 2020",,Corporate fraud|Section 307 in The Indian Penal Code,1,Indira Nehru Gandhi v. Raj Narain|Navtej Singh Johar v. Union of India|Keshavananda Bharati v. State of Kerala|A. R. Antulay v. R. S. Nayak,Consectetur nobis sit expedita asperiores saepe eos. Debitis assumenda enim repellendus porro. Provident eius dolores. Soluta in tempore natus dolores saepe laboriosam. Debitis praesentium odit optio. Exercitationem cumque soluta fugit sequi. Modi sapiente illum ex similique eveniet exercitationem. Dolore tempore autem vel. Impedit dolore commodi temporibus. Minima beatae vero.
92,Borah vs Dada,U. U. Lalit,"22 May, 2016",,Section 302 in The Indian Penal Code|Corporate fraud,-1,Keshavananda Bharati v. State of Kerala|Maneka Gandhi v. Union of India|Indira Nehru Gandhi v. Raj Narain|A. R. Antulay v. R. S. Nayak,Ad libero dolor pariatur tempore rerum nisi dolore. Itaque deleniti delectus aspernatur corrupti. At distinctio similique qui explicabo hic cum. Consequatur dolorum iure laborum beatae architecto sit. Officia est error magni totam. Ut explicabo occaecati qui explicabo laudantium reprehenderit perspiciatis. Reiciendis reprehenderit animi. Cum maxime minima inventore enim. Quibusdam aspernatur itaque dolore voluptatem illum. Totam sint deleniti veniam voluptates dignissimos. Voluptatibus suscipit laboriosam consectetur illo quidem.
93,Basu vs Tank,"Kurian Joseph, U. U. Lalit, Arun Mishra","07 December, 2015",,Corporate fraud,-1,Vishaka v. State of Rajasthan|S. P. Gupta v. President of India|Maneka Gandhi v. Union of India|A. R. Antulay v. R. S. Nayak,Quam magnam rerum tenetur tempora nemo. Provident ullam totam dolorem explicabo nesciunt excepturi mollitia. Aperiam ab magnam dolore odio consequatur fugit. Necessitatibus optio autem quibusdam mollitia fugit. Quibusdam quam beatae numquam. Labore alias suscipit laborum quis unde consectetur reprehenderit. Dolores vitae nostrum. Consectetur doloremque expedita quibusdam accusantium sit eaque. Sit reiciendis inventore maiores aspernatur ad. Maiores commodi hic dolorem quis ipsa.
94,Mani vs Bakshi,U. U. Lalit,"04 January, 2020",,Section 302 in The Indian Penal Code,1,Vishaka v. State of Rajasthan|Maneka Gandhi v. Union of India|Keshavananda Bharati v. State of Kerala,Nihil vitae qui sed ea. Vitae tempora id quam nihil recusandae. Odit voluptatem rem. Consequuntur soluta placeat ea vero adipisci. Quia reprehenderit voluptas tenetur. Placeat modi quibusdam minima iusto voluptatem veniam.
95,Balasubramanian vs Saraf,"Dipak Misra, Indu Malhotra, D. Y. Chandrachud","19 April, 2023",,Section 307 in The Indian Penal Code|Labour Laws|Corporate fraud,-1,Keshavananda Bharati v. State of Kerala|A. R. Antulay v. R. S. Nayak|Aruna Shanbaug v. Union of India|Vishaka v. State of Rajasthan,Nostrum ipsum ducimus ex similique. Suscipit ratione aliquam asperiores repellat. Ad eaque sed reprehenderit. Quas consequatur perspiciatis iusto maiores et. Qui vero dignissimos libero voluptas reprehenderit. Unde optio numquam. Ratione optio tempore dolor ex. Cupiditate voluptate qui maxime animi non. Culpa necessitatibus incidunt. Itaque accusantium sint aut.
96,Balakrishnan vs Madan,"D. Y. Chandrachud, R. F. Nariman","15 November, 2023",,Section 498A in The Indian Penal Code|Corporate fraud|Section 149 in The Indian Penal Code,-1,S. P. Gupta v. President of India|Keshavananda Bharati v. State of Kerala|Navtej Singh Johar v. Union of India|Indira Nehru Gandhi v. Raj Narain,Magni ratione alias fuga. Inventore vero voluptates quasi eos dolorum vero. Nostrum earum dolor quia odit hic maxime accusamus. Quia nemo ipsa. Doloremque assumenda tempore fuga. Dolor veniam ipsum natus praesentium esse. Corrupti illum corrupti consectetur earum nesciunt tenetur. Saepe voluptatibus et veniam praesentium tempore.
97,Rajagopalan vs Bhatti,"D. Y. Chandrachud, A. K. Sikri, N. V. Ramana","19 January, 2023",,Bail under CrPC|Corporate fraud|Section 307 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation,Exercitationem quo enim ipsum. Nisi possimus error distinctio. Perspiciatis nihil sequi magnam. Odio voluptatibus excepturi praesentium. Recusandae quia quisquam quis. Odit itaque animi odio numquam. Deleniti provident pariatur hic consectetur. Quis quam debitis maiores velit fuga. Animi itaque sunt est quam ad. Voluptate perspiciatis illo praesentium ratione veritatis.
